pl_insolerr1,pl_insol,st_tefferr2,dec,pl_radeerr1,pl_orbper,st_raderr2,pl_trandeperr2,st_raderr1,pl_trandep,st_tefferr1,st_teff,pl_eqt,ra,pl_radeerr2,pl_orbpererr1,pl_trandeperr1,st_rad,pl_orbpererr2,pl_rade,pl_insolerr2,disposition,source
252.7,260.58,-239.0,38.494659,1.09,7.21203748,-0.118,-19.5,0.353,950.4,174.0,6214.0,1025.0,291.65353,-0.36,1.553e-05,19.5,1.076,-1.553e-05,3.32,-84.01,CONFIRMED,Kepler
67.75,60.35,-168.0,51.321671,0.71,14.1798187,-0.065,-51.9,0.333,459.9,161.0,5799.0,711.0,291.0448,-0.14,0.0001643,51.9,0.878,-0.0001643,1.88,-14.34,FALSE POSITIVE,Kepler
35.44,75.44,-159.0,51.319519,0.37,8.47237911,-0.066,-26.7,0.113,1123.5,159.0,5354.0,751.0,296.36652,-0.22,1.56e-05,26.7,0.788,-1.56e-05,2.59,-19.3,CONFIRMED,Kepler
2.58,5.49,-159.0,51.319519,0.34,60.4189369,-0.066,-49.6,0.113,931.3,159.0,5354.0,390.0,296.36652,-0.2,0.0005043,49.6,0.788,-0.0005043,2.36,-1.4,CONFIRMED,Kepler
66.33,76.15,-173.0,51.737381,2.2,12.611904345,-0.091,-27.6,0.273,6105.6,156.0,5795.0,753.0,289.11221,-0.73,6.65e-06,27.6,0.919,-6.65e-06,7.4,-21.39,CONFIRMED,Kepler
1411.94,3209.29,-90.0,37.728828,8.01,1.433769925,-0.23,-20.4,0.23,1976.3,72.0,6017.0,1920.0,290.84369,-8.0,7.41e-07,20.4,1.339,-7.41e-07,46.58,-1136.62,FALSE POSITIVE,Kepler
125.69,139.26,-193.0,37.713501,8.61,10.31872301,-0.137,-26.4,0.319,871.7,176.0,5927.0,876.0,291.84891,-3.69,2.846e-05,26.4,1.06,-2.846e-05,28.59,-46.77,FALSE POSITIVE,Kepler
290.34,743.09,-74.0,37.905659,0.29,2.539183147,-0.14,-11.4,0.154,382.1,82.0,5519.0,1332.0,291.43997,-0.28,5.073e-06,11.4,1.062,-5.073e-06,2.06,-212.44,CONFIRMED,Kepler
53.88,102.87,-166.0,38.273628,0.46,6.770300385,-0.037,-29.7,0.112,1304.0,166.0,5653.0,812.0,290.87051,-0.15,9.537e-06,29.7,0.679,-9.537e-06,2.77,-21.24,CONFIRMED,Kepler
1149.42,2706.26,-156.0,38.28492,3.46,0.444291966,-0.04,-45.9,0.08,10967.0,156.0,5255.0,1836.0,290.99689,-1.73,9.7e-08,45.9,0.636,-9.7e-08,27.51,-599.58,FALSE POSITIVE,Kepler
